signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,long_return,short_return,strategy_return,benchmark_return,long_count,short_count,style_count,strategy_cumulative,benchmark_cumulative,excess_return
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,-0.10593141301038489,0.09974965473937093,-0.006181758271013957,-0.106676278739404,20,20,2,0.993818241728986,0.893323721260596,0.10049452046839004
2009-08-28,2009-09-04,2009-09-30,2009-10-09,2009-08-28,2009-10-09,0.02173364434828629,-0.01538367763480776,0.006349966713478528,0.023798840142335465,20,20,2,1.0001289544832128,0.9145837896982332,-0.017448873428856936
2009-09-30,2009-10-09,2009-10-30,2009-11-06,2009-09-30,2009-11-06,0.1051759034162277,-0.08263260542286233,0.02254329799336538,0.08137468202209863,20,20,2,1.0226751595359207,0.9890077547674928,-0.05883138402873325
2009-10-30,2009-11-06,2009-11-27,2009-12-04,2009-10-30,2009-12-04,0.04433743956922284,-0.04744428503199457,-0.0031068454627717276,0.03759996233055429,22,22,4,1.0194978658566272,1.0261944090913766,-0.04070680779332602
2009-11-27,2009-12-04,2009-12-31,2010-01-08,2009-11-27,2010-01-08,-0.027072014354073595,0.03565136288058858,0.008579348526514985,-0.03582435347424062,22,22,4,1.0282444933698494,0.9894316578467977,0.04440370200075561
2009-12-31,2010-01-08,2010-01-29,2010-02-05,2009-12-31,2010-02-05,-0.0662329593949688,0.07673705376809345,0.010504094373124648,-0.07379763335616563,22,22,4,1.039045270566852,0.9164139431300365,0.08430172772929027
2010-01-29,2010-02-05,2010-02-26,2010-03-05,2010-01-29,2010-03-05,0.03536334317173245,-0.034027803139669556,0.0013355400320628971,0.02778222807120767,22,22,4,1.0404329571208197,0.9418739643057099,-0.026446688039144774
2010-02-26,2010-03-05,2010-03-26,2010-04-02,2010-02-26,2010-04-02,0.045358709794720245,-0.03903206720454914,0.006326642590171107,0.037008053968426324,22,22,4,1.047015404579558,0.9767308868081913,-0.030681411378255218
2010-03-26,2010-04-02,2010-04-30,2010-05-07,2010-03-26,2010-05-07,-0.06456417273405499,0.0826837717913218,0.018119599057266816,-0.13494247834408724,22,22,4,1.0659869039173218,0.8449284002670758,0.15306207740135405
2010-04-30,2010-05-07,2010-05-28,2010-06-04,2010-04-30,2010-06-04,-0.020081032041023388,0.02652803378486667,0.006447001743843283,-0.02487731482814015,25,25,4,1.072859323345791,0.823908850446395,0.03132431657198344
2010-05-28,2010-06-04,2010-06-25,2010-07-02,2010-05-28,2010-07-02,-0.07204782822044262,0.0700548269832143,-0.0019930012372283146,-0.06090966017547017,24,24,4,1.070721113386991,0.7737248423501427,0.058916658938241856
2010-06-25,2010-07-02,2010-07-30,2010-08-06,2010-06-25,2010-08-06,0.14262166549198896,-0.13771901150094343,0.00490265399104553,0.11513990140547103,25,25,4,1.0759704885268344,0.8628114444133018,-0.1102372474144255
2010-07-30,2010-08-06,2010-08-27,2010-09-03,2010-07-30,2010-09-03,0.04975252567554729,-0.02862615632497181,0.02112636935057548,0.006858252942140375,26,26,4,1.0987018384777714,0.8687288235404618,0.014268116408435106
2010-08-27,2010-09-03,2010-09-30,2010-10-08,2010-08-27,2010-10-08,0.05042975092662375,-0.04553825667860497,0.004891494248018782,0.0341491150150548,26,26,4,1.104076132200973,0.8983951440524383,-0.029257620767036016
2010-09-30,2010-10-08,2010-10-29,2010-11-05,2010-09-30,2010-11-05,0.09497208696359336,-0.10957561888314024,-0.014603531919546886,0.12289332954585697,27,27,3,1.0879527211627662,1.0088019145528722,-0.13749686146540385
2010-10-29,2010-11-05,2010-11-26,2010-12-03,2010-10-29,2010-12-03,-0.05768386291179987,0.026668158246322973,-0.031015704665476894,-0.08271471117174933,26,26,3,1.05420910087318,0.9253591555611236,0.05169900650627244
2010-11-26,2010-12-03,2010-12-31,2011-01-07,2010-11-26,2011-01-07,-0.008059149703004856,0.009833133294140758,0.0017739835911359022,0.0029279626097751255,26,26,3,1.0560792505197552,0.9280685725692196,-0.0011539790186392233
2010-12-31,2011-01-07,2011-01-28,2011-02-01,2010-12-31,2011-02-01,-0.04750162034265495,0.05413743822694607,0.006635817884291122,-0.021891970281231243,28,28,3,1.0630872000975828,0.9077513229595895,0.028527788165522365
2011-01-28,2011-02-01,2011-02-25,2011-03-04,2011-01-28,2011-03-04,0.05149792132668727,-0.056700507845202565,-0.005202586518515295,0.05087567921273006,27,27,3,1.057556396962349,0.9539337880714129,-0.05607826573124536
2011-02-25,2011-03-04,2011-03-25,2011-04-01,2011-02-25,2011-04-01,0.001549445044101633,0.0076096137531694134,0.009159058797271045,0.0016848222411878222,28,28,3,1.067242618183557,0.9555409969341762,0.007474236556083223
2011-03-25,2011-04-01,2011-04-29,2011-05-06,2011-03-25,2011-05-06,-0.022850355237055805,0.05118602686699921,0.028335671629943406,-0.03645230045403791,28,28,3,1.0974836545618873,0.9207093294177806,0.06478797208398132
2011-04-29,2011-05-06,2011-05-27,2011-06-03,2011-04-29,2011-06-03,-0.04119739427347432,0.05039809934758285,0.009200705074108535,-0.034056541086766035,30,30,4,1.107581277991166,0.8893531543114952,0.04325724616087457
2011-05-27,2011-06-03,2011-06-24,2011-07-01,2011-05-27,2011-07-01,0.03235385919038866,-0.027294085681668724,0.005059773508719938,0.0175381259915528,30,30,3,1.1131853884002998,0.9049507419827951,-0.012478352482832862
2011-06-24,2011-07-01,2011-07-29,2011-08-05,2011-06-24,2011-08-05,-0.003016332204722934,-0.005301078642368284,-0.008317410847091217,-0.03933243887212867,30,30,3,1.1039265681759955,0.8693568222414694,0.031015028025037455
2011-07-29,2011-08-05,2011-08-26,2011-09-02,2011-07-29,2011-09-02,-0.035441030383536985,0.03352836296902918,-0.001912667414507803,-0.02494743348809636,30,30,3,1.1018151238010359,0.8476686007411776,0.023034766073588557
2011-08-26,2011-09-02,2011-09-30,2011-10-14,2011-08-26,2011-10-14,-0.07737926933716119,0.07779985123061645,0.00042058189345525743,-0.04157826344403026,30,30,3,1.1022785272920417,0.8124240123463283,0.04199884533748552
2011-09-30,2011-10-14,2011-10-28,2011-11-04,2011-09-30,2011-11-04,0.03336346285873432,-0.038347141361427674,-0.0049836785026933506,0.0337213221382886,31,31,3,1.096785125491596,0.8398200241795398,-0.03870500064098195
2011-10-28,2011-11-04,2011-11-25,2011-12-02,2011-10-28,2011-12-02,-0.059379652293160404,0.04129329264788008,-0.018086359645280325,-0.05938681758579134,31,31,3,1.076948275258361,0.7899457855986947,0.041300457940511015
2011-11-25,2011-12-02,2011-12-30,2012-01-06,2011-11-25,2012-01-06,-0.10419673619876699,0.12372069860754571,0.019523962408778725,-0.08304360343406514,31,31,3,1.0979745729007042,0.7243458410450256,0.10256756584284386
2011-12-30,2012-01-06,2012-01-20,2012-02-03,2011-12-30,2012-02-03,0.05004968906158727,-0.045174283552221306,0.004875405509365965,0.07571839240456235,32,32,3,1.1033276441825681,0.7791921436738857,-0.07084298689519639
2012-01-20,2012-02-03,2012-02-24,2012-03-02,2012-01-20,2012-03-02,0.07319600405498847,-0.07404382911941346,-0.0008478250644249896,0.055751892040706075,32,32,3,1.102392215351557,0.8226335799469585,-0.056599717105131064
