signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,fund_code,style,side,weight,alpha
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,310368.OF,Alpha,long,0.02631578947368421,0.006576088413539861
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,270008.OF,Alpha,long,0.02631578947368421,0.006440935991868251
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,550003.OF,Alpha,long,0.02631578947368421,0.005950739339004065
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,460005.OF,Alpha,long,0.02631578947368421,0.005037876282657303
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,070013.OF,Alpha,long,0.02631578947368421,0.004681890958002927
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,350005.OF,Alpha,long,0.02631578947368421,0.004564142399819293
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,217010.OF,Alpha,long,0.02631578947368421,0.0045637567772050976
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,110011.OF,Alpha,long,0.02631578947368421,0.004549036256231024
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,290005.OF,Alpha,long,0.02631578947368421,0.004394136497111989
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,000031.OF,Alpha,long,0.02631578947368421,0.003884661181232226
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,202011.OF,Alpha,long,0.02631578947368421,0.00382548754236623
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,340007.OF,Alpha,long,0.02631578947368421,0.0035296588005043067
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,450004.OF,Alpha,long,0.02631578947368421,0.0034803558548477417
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,519668.OF,Alpha,long,0.02631578947368421,0.002961447168629915
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,050010.OF,Alpha,long,0.02631578947368421,0.0027388914206128434
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,163801.OF,Alpha,long,0.02631578947368421,0.002263374555168025
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,163302.OF,Alpha,long,0.02631578947368421,0.0019410482699405173
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,288002.OF,Alpha,long,0.02631578947368421,0.0017540620189829075
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,002011.OF,Alpha,long,0.02631578947368421,0.0017041255168994834
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,378010.OF,Alpha,short,-0.02631578947368421,-0.002898740636952213
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,450002.OF,Alpha,short,-0.02631578947368421,-0.002914247216205439
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,483003.OF,Alpha,short,-0.02631578947368421,-0.003023499279672897
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,360001.OF,Alpha,short,-0.02631578947368421,-0.0030335659231013113
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,163503.OF,Alpha,short,-0.02631578947368421,-0.0031521519739479793
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,570001.OF,Alpha,short,-0.02631578947368421,-0.0032075684264247554
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,360006.OF,Alpha,short,-0.02631578947368421,-0.003312463013595905
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,202001.OF,Alpha,short,-0.02631578947368421,-0.0035374773839937862
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,202002.OF,Alpha,short,-0.02631578947368421,-0.0038438995590262663
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,162703.OF,Alpha,short,-0.02631578947368421,-0.003956277664062094
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,375010.OF,Alpha,short,-0.02631578947368421,-0.00413494560099736
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,166001.OF,Alpha,short,-0.02631578947368421,-0.004420601884655758
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,519993.OF,Alpha,short,-0.02631578947368421,-0.004482493211492288
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,070003.OF,Alpha,short,-0.02631578947368421,-0.0046855259955359075
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,410003.OF,Alpha,short,-0.02631578947368421,-0.004814928400912144
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,580002.OF,Alpha,short,-0.02631578947368421,-0.005388537533832066
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,400001.OF,Alpha,short,-0.02631578947368421,-0.006216259374440602
2009-07-31,2009-08-07,2009-08-28T00:00:00,2009-09-04,2009-07-31,2009-09-04,410001.OF,Alpha,short,-0.02631578947368421,-0.006744571793856649
