signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,fund_code,style,side,weight,alpha
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,110025,Large Growth,long,0.25,0.00225334092887366
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,960000,Large Value,long,0.125,0.0006155465427656567
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,540006,Large Value,long,0.125,0.000600973679778138
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,519091,Small Growth,long,0.0125,0.0007713126000037434
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,690007,Small Growth,long,0.0125,0.0007217736378996665
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,229002,Small Growth,long,0.0125,0.00070894386117325
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001421,Small Growth,long,0.0125,0.0005597704180257531
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001017,Small Growth,long,0.0125,0.0005595962193744846
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,519975,Small Growth,long,0.0125,0.0005206464605963463
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,519983,Small Growth,long,0.0125,0.0005001637830258756
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,410009,Small Growth,long,0.0125,0.0004960818210711379
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,050014,Small Growth,long,0.0125,0.00048699716958901327
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,000778,Small Growth,long,0.0125,0.0004455889282273841
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,519756,Small Growth,long,0.0125,0.0004184690949547427
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001830,Small Growth,long,0.0125,0.00038053575416627933
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001154,Small Growth,long,0.0125,0.0003614171039401596
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,090009,Small Growth,long,0.0125,0.00032270425936674514
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,000654,Small Growth,long,0.0125,0.0003015103655821406
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,630011,Small Growth,long,0.0125,0.00027693398877792503
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,690005,Small Growth,long,0.0125,0.00023993225636197244
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,000800,Small Growth,long,0.0125,0.00022249139830974717
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001219,Small Growth,long,0.0125,0.00020227181566350762
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,233009,Small Growth,long,0.0125,0.0002005137655433191
