signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,fund_code,style,side,weight,alpha
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,000063,Alpha,long,0.011363636363636364,0.0024429723777007564
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,519156,Alpha,long,0.011363636363636364,0.0021874724062244037
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,100056,Alpha,long,0.011363636363636364,0.002111152693590688
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,163412,Alpha,long,0.011363636363636364,0.0015395261257222094
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,260112,Alpha,long,0.011363636363636364,0.0014987885434672237
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,000663,Alpha,long,0.011363636363636364,0.001320704443439426
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,000524,Alpha,long,0.011363636363636364,0.0011135216711983219
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,720001,Alpha,long,0.011363636363636364,0.001085766815220179
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,160212,Alpha,long,0.011363636363636364,0.0010549104033029779
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,460005,Alpha,long,0.011363636363636364,0.0010162922498338088
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,161910,Alpha,long,0.011363636363636364,0.0010110743495517832
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,070032,Alpha,long,0.011363636363636364,0.0009487096403987981
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,161810,Alpha,long,0.011363636363636364,0.0008683666302944982
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,360010,Alpha,long,0.011363636363636364,0.0007712359581698849
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,360012,Alpha,long,0.011363636363636364,0.0007603531772667422
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,163001,Alpha,long,0.011363636363636364,0.0006991510921646627
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,540006,Alpha,long,0.011363636363636364,0.000661670336431973
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,163406,Alpha,long,0.011363636363636364,0.0006352461626445115
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,519158,Alpha,long,0.011363636363636364,0.0006301371461444735
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,233011,Alpha,long,0.011363636363636364,0.000620147795559951
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,162107,Alpha,long,0.011363636363636364,0.0005251580061335775
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,519181,Alpha,long,0.011363636363636364,0.0005186577588665194
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,660006,Alpha,short,-0.011363636363636364,-0.0007811694114239921
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,020023,Alpha,short,-0.011363636363636364,-0.0007957946885963324
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,270022,Alpha,short,-0.011363636363636364,-0.0008229929845680586
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,620004,Alpha,short,-0.011363636363636364,-0.0008708781685058373
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,260110,Alpha,short,-0.011363636363636364,-0.000872566161992735
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,530016,Alpha,short,-0.011363636363636364,-0.0008885386358626732
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,000756,Alpha,short,-0.011363636363636364,-0.0009319303923622888
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,050018,Alpha,short,-0.011363636363636364,-0.000935139471066128
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,519606,Alpha,short,-0.011363636363636364,-0.0009384489051145874
2016-01-29,2016-02-01,2016-02-29,2016-03-01,2016-01-29,2016-03-01,090009,Alpha,short,-0.011363636363636364,-0.000968894478507478
