signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,fund_code,style,side,weight,alpha
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,110025,Large Growth,long,0.25,0.0022533409288736594
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,163503,Large Growth,short,-0.25,-0.0003413616262213561
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,960000,Large Value,long,0.125,0.0006155465427656559
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,540006,Large Value,long,0.125,0.0006009736797781376
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,000458,Large Value,short,-0.125,5.600409079479016e-05
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,166007,Large Value,short,-0.125,5.526613968244215e-05
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,519091,Small Growth,long,0.0125,0.0007713126000037412
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,690007,Small Growth,long,0.0125,0.0007217736378996656
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,229002,Small Growth,long,0.0125,0.0007089438611732493
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001421,Small Growth,long,0.0125,0.0005597704180257526
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001017,Small Growth,long,0.0125,0.0005595962193744824
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,519975,Small Growth,long,0.0125,0.0005206464605963444
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,519983,Small Growth,long,0.0125,0.0005001637830258743
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,410009,Small Growth,long,0.0125,0.0004960818210711365
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,050014,Small Growth,long,0.0125,0.00048699716958901175
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,000778,Small Growth,long,0.0125,0.0004455889282273832
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,519756,Small Growth,long,0.0125,0.00041846909495474164
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001830,Small Growth,long,0.0125,0.0003805357541662776
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001154,Small Growth,long,0.0125,0.0003614171039401587
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,090009,Small Growth,long,0.0125,0.0003227042593667448
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,000654,Small Growth,long,0.0125,0.00030151036558213906
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,630011,Small Growth,long,0.0125,0.0002769339887779244
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,690005,Small Growth,long,0.0125,0.0002399322563619707
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,000800,Small Growth,long,0.0125,0.00022249139830974544
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001219,Small Growth,long,0.0125,0.00020227181566350718
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,233009,Small Growth,long,0.0125,0.00020051376554331844
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,000545,Small Growth,short,-0.0125,-0.0008009522108002069
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,000073,Small Growth,short,-0.0125,-0.0008253702927849965
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001150,Small Growth,short,-0.0125,-0.0008280972480060088
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,700001,Small Growth,short,-0.0125,-0.0008321160172500967
2017-01-26,2017-02-03,2017-02-28,2017-03-01,2017-01-26,2017-03-01,001227,Small Growth,short,-0.0125,-0.0008404486397000227
