基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,最高申购费率,最高赎回费率,规模_亿元,成立日期
华夏成长证券投资基金,华夏成长混合,000001,混合型-灵活,2001年11月28日,2001年12月18日 / 32.368亿份,29.37亿元（截止至：2025年12月31日）,27.1185亿份（截止至：2025年12月31日）,华夏基金,建设银行,郑晓辉、刘睿聪,每份累计2.57元（25次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.00%（前端）,该基金暂未披露业绩比较基准,该基金无跟踪标的,,,29.37,2001-12-18
西部利得量化成长混合型发起式证券投资基金,西部利得量化成长混合A,000006,混合型-偏股,2019年02月15日,2019年03月19日 / 1.779亿份,10.60亿元（截止至：2025年12月31日）,4.1101亿份（截止至：2025年12月31日）,西部利得基金,农业银行,盛丰衍,每份累计0.33元（3次）,1.20%（每年）,0.10%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证500指数收益率*75%+同期银行活期存款利率(税后)*25%,该基金无跟踪标的,,,10.6,2019-03-19
华夏大盘精选证券投资基金,华夏大盘精选混合A,000011,混合型-灵活,2004年07月06日,2004年08月11日 / 19.280亿份,39.89亿元（截止至：2025年12月31日）,2.0341亿份（截止至：2025年12月31日）,华夏基金,中国银行,屠环宇,每份累计7.31元（23次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,新华富时中国A200指数*80%+新华富时中国国债指数*20%,该基金无跟踪标的,,,39.89,2004-08-11
财通可持续发展主题混合型证券投资基金,财通可持续混合,000017,混合型-偏股,2013年02月25日,2013年03月27日 / 3.148亿份,1.58亿元（截止至：2025年12月31日）,0.672亿份（截止至：2025年12月31日）,财通基金,工商银行,夏钦,每份累计1.82元（11次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率×80% +上证国债指数收益率×20%,该基金无跟踪标的,,,1.58,2013-03-27
景顺长城品质投资混合型证券投资基金,景顺长城品质投资混合A,000020,混合型-偏股,2013年02月25日,2013年03月19日 / 15.096亿份,3.88亿元（截止至：2025年12月31日）,0.9193亿份（截止至：2025年12月31日）,景顺长城基金,农业银行,詹成,每份累计0.17元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数*80%+中证全债指数*20%,该基金无跟踪标的,,,3.88,2013-03-19
华夏优势增长混合型证券投资基金,华夏优势增长混合,000021,混合型-偏股,2006年11月20日,2006年11月24日 / 141.020亿份,56.57亿元（截止至：2025年12月31日）,17.7814亿份（截止至：2025年12月31日）,华夏基金,建设银行,郑晓辉,每份累计1.17元（4次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,富时中国A600指数收益率×80%+中债综合指数(财富)收益率×20%,该基金无跟踪标的,,,56.57,2006-11-24
富国宏观策略灵活配置混合型证券投资基金,富国宏观策略灵活配置混合A,000029,混合型-灵活,2013年03月11日,2013年04月12日 / 9.852亿份,2.08亿元（截止至：2025年12月31日）,0.6943亿份（截止至：2025年12月31日）,富国基金,建设银行,袁宜,每份累计0.20元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*65%+中债综合指数收益率*35%,该基金无跟踪标的,,,2.08,2013-04-12
长城核心优选灵活配置混合型证券投资基金,长城核心优选混合A,000030,混合型-灵活,2013年03月18日,2013年04月18日 / 9.370亿份,0.71亿元（截止至：2025年12月31日）,0.5758亿份（截止至：2025年12月31日）,长城基金,建设银行,向晨,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,沪深300指数收益率*55%+中债总财富指数收益率*45%,该基金无跟踪标的,,,0.71,2013-04-18
华夏复兴混合型证券投资基金,华夏复兴混合A,000031,混合型-偏股,2007年09月05日,2007年09月10日 / 49.991亿份,17.74亿元（截止至：2025年12月31日）,6.6906亿份（截止至：2025年12月31日）,华夏基金,农业银行,郑煜、黄皓,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+上证国债指数收益率*20%,该基金无跟踪标的,,,17.74,2007-09-10
农银汇理低估值高增长混合型证券投资基金,农银高增长混合,000039,混合型-偏股,2013年03月04日,2013年03月26日 / 9.714亿份,3.77亿元（截止至：2025年12月31日）,0.7493亿份（截止至：2025年12月31日）,农银汇理基金,交通银行,左腾飞,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,75%×沪深300指数+25%×中证全债指数,该基金无跟踪标的,,,3.77,2013-03-26
建信消费升级混合型证券投资基金,建信消费升级混合,000056,混合型-灵活,2013年05月15日,2013年06月14日 / 12.434亿份,0.43亿元（截止至：2025年12月31日）,0.2052亿份（截止至：2025年12月31日）,建信基金,民生银行,邱宇航、何珅华,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,75%×沪深300指数收益率+25%×中国债券总指数收益率,该基金无跟踪标的,,,0.43,2013-06-14
中银消费主题混合型证券投资基金,中银消费主题混合A,000057,混合型-偏股,2013年04月01日,2013年04月25日 / 12.583亿份,0.30亿元（截止至：2025年12月31日）,0.1829亿份（截止至：2025年12月31日）,中银基金,招商银行,杨庆运,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证内地消费主题指数收益率*75%+上证国债指数收益率*25%,该基金无跟踪标的,,,0.3,2013-04-25
国联安安泰灵活配置混合型证券投资基金,国联安安泰灵活配置混合A,000058,混合型-灵活,2013年03月22日,2013年04月23日 / 2.435亿份,2.17亿元（截止至：2025年12月31日）,1.3473亿份（截止至：2025年12月31日）,国联安基金,工商银行,刘佃贵、薛琳,每份累计0.12元（1次）,0.90%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,沪深300指数收益率*55%+上证国债指数收益率*45%,该基金无跟踪标的,,,2.17,2013-04-23
华夏盛世精选混合型证券投资基金,华夏盛世混合,000061,混合型-偏股,2009年12月09日,2009年12月11日 / 187.102亿份,10.02亿元（截止至：2025年12月31日）,5.2796亿份（截止至：2025年12月31日）,华夏基金,建设银行,连骁,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数×80%+上证国债指数×20%,该基金无跟踪标的,,,10.02,2009-12-11
