run_name,output_dir,status,elapsed_minutes,BACKTEST_START_DATE,BACKTEST_END_DATE,BACKTEST_MIN_STOCK_HOLDING,BACKTEST_LONG_QUANTILE,BACKTEST_SHORT_QUANTILE,BACKTEST_INCLUDE_ALPHA_BUCKET,ROLLING_WINDOW,INSUFFICIENT_DATA_THRESHOLD,FULL_SAMPLE_FALLBACK_MAX,P_VALUE_THRESHOLD,SMB_STABILITY_THRESHOLD,VMG_STABILITY_THRESHOLD,score,Strategy Ann. Return,Benchmark Ann. Return,Strategy Sharpe,Information Ratio,Strategy Max Drawdown,Monthly Hit Rate,Rebalance Months,search_batch_time
001_s2008_2025_h70_q10_a1_rw245_fb300,C:\Users\Ng\Desktop\LLM\fund_strategy\strategy_2026\parameter_search_output\001_s2008_2025_h70_q10_a1_rw245_fb300,completed,5.51,2008-01-01,2025-12-31,70,0.1,0.1,True,245,245,300,0.05,1.0,1.0,2.905,4.70%,5.50%,0.69,-0.13,-14.59%,50.98%,204,
002_s2010_2025_h70_q10_a1_rw245_fb300,C:\Users\Ng\Desktop\LLM\fund_strategy\strategy_2026\parameter_search_output\002_s2010_2025_h70_q10_a1_rw245_fb300,completed,6.05,2010-01-01,2025-12-31,70,0.1,0.1,True,245,245,300,0.05,1.0,1.0,4.609902,4.30%,3.37%,0.7,-0.03,-10.61%,54.75%,179,
003_s2012_2025_h70_q10_a1_rw245_fb300,C:\Users\Ng\Desktop\LLM\fund_strategy\strategy_2026\parameter_search_output\003_s2012_2025_h70_q10_a1_rw245_fb300,completed,5.46,2012-01-01,2025-12-31,70,0.1,0.1,True,245,245,300,0.05,1.0,1.0,2.834608,4.34%,4.48%,0.7,-0.09,-13.60%,52.26%,155,
004_s2015_2025_h70_q10_a1_rw245_fb300,C:\Users\Ng\Desktop\LLM\fund_strategy\strategy_2026\parameter_search_output\004_s2015_2025_h70_q10_a1_rw245_fb300,completed,4.89,2015-01-01,2025-12-31,70,0.1,0.1,True,245,245,300,0.05,1.0,1.0,6.799167,5.91%,4.90%,1.05,-0.0,-7.29%,52.10%,119,
005_s2016_2025_h70_q10_a1_rw245_fb300,C:\Users\Ng\Desktop\LLM\fund_strategy\strategy_2026\parameter_search_output\005_s2016_2025_h70_q10_a1_rw245_fb300,completed,4.75,2016-01-01,2025-12-31,70,0.1,0.1,True,245,245,300,0.05,1.0,1.0,6.88902,5.56%,3.98%,0.9,0.03,-6.38%,53.27%,107,
006_s2021_2025_h70_q10_a1_rw245_fb300,C:\Users\Ng\Desktop\LLM\fund_strategy\strategy_2026\parameter_search_output\006_s2021_2025_h70_q10_a1_rw245_fb300,completed,3.28,2021-01-01,2025-12-31,70,0.1,0.1,True,245,245,300,0.05,1.0,1.0,6.135784,4.57%,1.34%,0.79,0.11,-7.86%,59.57%,47,
007_s2016_2025_h60_q10_a1_rw245_fb300,C:\Users\Ng\Desktop\LLM\fund_strategy\strategy_2026\parameter_search_output\007_s2016_2025_h60_q10_a1_rw245_fb300,completed,0.09,2016-01-01,2025-12-31,60,0.1,0.1,True,245,245,300,0.05,1.0,1.0,7.78652,5.93%,3.98%,0.97,0.05,-5.63%,52.34%,107,
008_s2016_2025_h60_q10_a0_rw245_fb300,C:\Users\Ng\Desktop\LLM\fund_strategy\strategy_2026\parameter_search_output\008_s2016_2025_h60_q10_a0_rw245_fb300,completed,0.04,2016-01-01,2025-12-31,60,0.1,0.1,False,245,245,300,0.05,1.0,1.0,7.58152,5.82%,3.98%,0.99,0.05,-5.74%,56.07%,107,
009_s2016_2025_h60_q15_a1_rw245_fb300,C:\Users\Ng\Desktop\LLM\fund_strategy\strategy_2026\parameter_search_output\009_s2016_2025_h60_q15_a1_rw245_fb300,completed,0.04,2016-01-01,2025-12-31,60,0.15,0.15,True,245,245,300,0.05,1.0,1.0,6.52902,5.28%,3.98%,0.91,0.01,-5.85%,54.21%,107,
010_s2016_2025_h60_q15_a0_rw245_fb300,C:\Users\Ng\Desktop\LLM\fund_strategy\strategy_2026\parameter_search_output\010_s2016_2025_h60_q15_a0_rw245_fb300,completed,0.1,2016-01-01,2025-12-31,60,0.15,0.15,False,245,245,300,0.05,1.0,1.0,6.66402,5.22%,3.98%,0.96,0.01,-5.04%,56.07%,107,
