signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,long_return,short_return,strategy_return,benchmark_return,long_count,short_count,style_count,strategy_cumulative,benchmark_cumulative,excess_return
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,-0.07299628407654467,0.08394087729644048,0.010944593219895812,0.0,13,13,4,1.0109445932198957,1.0,0.010944593219895812
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,-0.14539856550613806,0.18637649241024,0.04097792690410196,0.0,14,14,4,1.0523710068649577,1.0,0.04097792690410196
2020-03-31,2020-03-31,2020-04-30,2020-04-30,2020-03-31,2020-04-30,0.12361846512501215,-0.15791873406666695,-0.034300268941654805,0.0,14,14,4,1.0162743983030895,1.0,-0.034300268941654805
2020-04-30,2020-04-30,2020-05-29,2020-05-29,2020-04-30,2020-05-29,0.05463533013305791,-0.05273420444245336,0.0019011256906045493,0.0,14,14,4,1.0182064636704071,1.0,0.0019011256906045493
2020-05-29,2020-05-29,2020-06-30,2020-06-30,2020-05-29,2020-06-30,0.030336692097056778,-0.01592544271719231,0.014411249379864467,0.0,14,14,4,1.0328800909385514,1.0,0.014411249379864467
2020-06-30,2020-06-30,2020-07-31,2020-07-31,2020-06-30,2020-07-31,0.05966649653056591,-0.03027741434118823,0.02938908218937768,0.0,14,14,4,1.0632354888229163,1.0,0.02938908218937768
2020-07-31,2020-07-31,2020-08-31,2020-08-31,2020-07-31,2020-08-31,0.05385934267452933,-0.03994697728705614,0.013912365387473195,0.0,14,14,4,1.0780276094363492,1.0,0.013912365387473195
2020-08-31,2020-08-31,2020-09-30,2020-09-30,2020-08-31,2020-09-30,-0.028407342928300737,0.0416112865051843,0.013203943576883564,0.0,14,14,4,1.0922618251656695,1.0,0.013203943576883564
2020-09-30,2020-09-30,2020-10-30,2020-10-30,2020-09-30,2020-10-30,-0.02567445429143795,0.01695118367044092,-0.00872327062099703,0.0,14,14,4,1.0827337296757653,1.0,-0.00872327062099703
2020-10-30,2020-10-30,2020-11-30,2020-11-30,2020-10-30,2020-11-30,0.11883542164454083,-0.15376025949646582,-0.03492483785192499,0.0,14,14,4,1.0449194297300293,1.0,-0.03492483785192499
2020-11-30,2020-11-30,2020-12-31,2020-12-31,2020-11-30,2020-12-31,0.042107281938726634,-0.04908258968799217,-0.0069753077492655385,0.0,14,14,4,1.0376307951344752,1.0,-0.0069753077492655385
2020-12-31,2020-12-31,2021-01-29,2021-01-29,2020-12-31,2021-01-29,-0.0008084138190827858,0.005099648757917234,0.004291234938834448,0.0,14,14,4,1.0420835126561667,1.0,0.004291234938834448
