signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,fund_code,style,side,weight,alpha
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,21701,Large Growth,long,0.25,-0.0001568604688738899
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,21702,Large Growth,short,-0.25,-0.0011854168084118317
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,3716,Large Value,long,0.125,0.00371103331647192
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,14869,Large Value,long,0.125,0.0008507640374747475
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,11393,Large Value,short,-0.125,-0.0017212141110240602
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,11391,Large Value,short,-0.125,-0.00190392079832525
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,24800,Small Growth,long,0.05,0.005802774324750597
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,22399,Small Growth,long,0.05,0.002869017419211587
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,20246,Small Growth,long,0.05,0.0025895633912316005
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,21045,Small Growth,long,0.05,0.002525097021505361
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,11946,Small Growth,long,0.05,0.0023821527752721765
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,18568,Small Growth,short,-0.05,-0.0029893034575143107
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,3933,Small Growth,short,-0.05,-0.0033130634511105805
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,3934,Small Growth,short,-0.05,-0.003472611723976153
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,30007,Small Growth,short,-0.05,-0.003502384763892448
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,12066,Small Growth,short,-0.05,-0.006167434518800004
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,21129,Small Value,long,0.05,0.0039928190922136906
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,30752,Small Value,long,0.05,0.0036785143003210236
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,21112,Small Value,long,0.05,0.003612238335877845
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,27045,Small Value,long,0.05,0.003224697294534424
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,16105,Small Value,long,0.05,0.0031543024040196783
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,11863,Small Value,short,-0.05,-0.003952563820592824
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,11860,Small Value,short,-0.05,-0.00415273406438883
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,11632,Small Value,short,-0.05,-0.009102472985025454
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,12016,Small Value,short,-0.05,-0.012025731447058234
2020-01-31,2020-01-31,2020-02-28,2020-02-28,2020-01-31,2020-02-28,11665,Small Value,short,-0.05,-0.01215901347236551
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,21701,Large Growth,long,0.25,-0.00023496783834914175
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,21702,Large Growth,short,-0.25,-0.001190009292297592
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,3716,Large Value,long,0.125,0.0029577342851515535
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,14869,Large Value,long,0.125,0.0008043618752887923
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,11393,Large Value,short,-0.125,-0.0017115176088281449
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,11391,Large Value,short,-0.125,-0.0018953952880413748
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,4607,Small Growth,long,0.041666666666666664,0.020492639920772816
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,24800,Small Growth,long,0.041666666666666664,0.00577936571687116
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,21045,Small Growth,long,0.041666666666666664,0.0028376977756061415
2020-02-28,2020-02-28,2020-03-31,2020-03-31,2020-02-28,2020-03-31,22399,Small Growth,long,0.041666666666666664,0.0027532209765457967
