rank,status,BACKTEST_START_DATE,BACKTEST_END_DATE,BACKTEST_MIN_STOCK_HOLDING,BACKTEST_LONG_QUANTILE,BACKTEST_SHORT_QUANTILE,BACKTEST_INCLUDE_ALPHA_BUCKET,ROLLING_WINDOW,INSUFFICIENT_DATA_THRESHOLD,FULL_SAMPLE_FALLBACK_MAX,ALPHA_TRAILING_WINDOW,P_VALUE_THRESHOLD,SMB_STABILITY_THRESHOLD,HML_STABILITY_THRESHOLD,FACTOR_COLUMNS,score,Strategy Ann. Return,Benchmark (EW) Ann. Return,Benchmark (VW) Ann. Return,Strategy Sharpe,Benchmark (EW) Sharpe,Benchmark (VW) Sharpe,Information Ratio (vs EW),Information Ratio (vs VW),Strategy Max Drawdown,Monthly Hit Rate (vs EW),Return Months,Rebalance Years,search_batch_time
1,completed,2015-01-01,2025-12-31,80,0.2,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",11.628333,13.74%,11.58%,13.19%,0.92,0.77,0.86,0.67,0.16,-24.36%,60.83%,120,10,2026-06-04 20:55:38
2,completed,2010-01-01,2025-12-31,80,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.5875,12.85%,11.11%,12.58%,0.90,0.78,0.88,0.51,0.07,-21.99%,56.67%,180,15,2026-06-04 20:55:38
3,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.480833,13.47%,11.58%,13.19%,0.88,0.77,0.86,0.61,0.09,-22.82%,62.50%,120,10,2026-06-04 20:55:38
4,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",11.435833,13.55%,11.58%,13.19%,0.87,0.77,0.86,0.74,0.12,-23.79%,53.33%,120,10,2026-06-04 20:55:38
5,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",11.428333,13.64%,11.58%,13.19%,0.91,0.77,0.86,0.69,0.12,-24.47%,60.00%,120,10,2026-06-04 20:55:38
6,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml",11.360833,13.63%,11.58%,13.19%,0.91,0.77,0.86,0.67,0.12,-24.63%,57.50%,120,10,2026-06-04 20:55:38
7,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.235833,13.26%,11.58%,13.19%,0.88,0.77,0.86,0.44,0.01,-21.99%,57.50%,120,10,2026-06-04 20:55:38
8,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,120.0,0.05,1.5,2.0,"mkt_rf, smb, hml, rmw, cma, mom",11.228333,13.58%,11.58%,13.19%,0.87,0.77,0.86,0.65,0.12,-24.65%,54.17%,120,10,2026-06-04 20:55:38
9,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.188333,13.31%,11.56%,13.10%,0.87,0.77,0.86,0.57,0.07,-22.82%,63.33%,120,10,2026-06-04 20:55:38
10,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.188333,13.31%,11.56%,13.10%,0.87,0.77,0.86,0.57,0.07,-22.82%,63.33%,120,10,2026-06-04 20:55:38
