run_name,output_dir,status,elapsed_minutes,BACKTEST_START_DATE,BACKTEST_END_DATE,BACKTEST_MIN_STOCK_HOLDING,BACKTEST_LONG_QUANTILE,BACKTEST_SHORT_QUANTILE,BACKTEST_INCLUDE_ALPHA_BUCKET,ROLLING_WINDOW,INSUFFICIENT_DATA_THRESHOLD,FULL_SAMPLE_FALLBACK_MAX,ALPHA_TRAILING_WINDOW,P_VALUE_THRESHOLD,SMB_STABILITY_THRESHOLD,HML_STABILITY_THRESHOLD,FACTOR_COLUMNS,score,Strategy Ann. Return,Benchmark (EW) Ann. Return,Benchmark (VW) Ann. Return,Strategy Sharpe,Benchmark (EW) Sharpe,Benchmark (VW) Sharpe,Information Ratio (vs EW),Information Ratio (vs VW),Strategy Max Drawdown,Monthly Hit Rate (vs EW),Return Months,Rebalance Years,search_batch_time
001_s2010_2025_h70_q10_a0_rw36_fb48_aw60_fMSH,/Users/allison/Documents/Portfolio/fund_strategy/strategy_2026_US/parameter_search_output/001_s2010_2025_h70_q10_a0_rw36_fb48_aw60_fMSH,completed,0.08,2010-01-01,2025-12-31,70,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",6.7825,11.01%,11.06%,12.52%,0.81,0.78,0.88,-0.04,-0.45,-27.11%,51.67%,180,15,2026-06-04 17:09:27
002_s2015_2025_h70_q10_a0_rw36_fb48_aw60_fMSH,/Users/allison/Documents/Portfolio/fund_strategy/strategy_2026_US/parameter_search_output/002_s2015_2025_h70_q10_a0_rw36_fb48_aw60_fMSH,completed,0.07,2015-01-01,2025-12-31,70,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",7.785833,12.13%,11.56%,13.10%,0.83,0.77,0.86,0.10,-0.27,-27.11%,55.00%,120,10,2026-06-04 17:09:27
003_s2020_2025_h70_q10_a0_rw36_fb48_aw60_fMSH,/Users/allison/Documents/Portfolio/fund_strategy/strategy_2026_US/parameter_search_output/003_s2020_2025_h70_q10_a0_rw36_fb48_aw60_fMSH,completed,0.07,2020-01-01,2025-12-31,70,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",4.646667,9.93%,9.56%,10.95%,0.68,0.67,0.76,0.08,-0.23,-27.11%,56.67%,60,5,2026-06-04 17:09:27
004_s2010_2025_h60_q10_a0_rw36_fb48_aw60_fMSH,/Users/allison/Documents/Portfolio/fund_strategy/strategy_2026_US/parameter_search_output/004_s2010_2025_h60_q10_a0_rw36_fb48_aw60_fMSH,completed,0.08,2010-01-01,2025-12-31,60,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",6.7825,11.01%,11.06%,12.52%,0.81,0.78,0.88,-0.04,-0.45,-27.11%,51.67%,180,15,2026-06-04 17:09:27
005_s2010_2025_h80_q10_a0_rw36_fb48_aw60_fMSH,/Users/allison/Documents/Portfolio/fund_strategy/strategy_2026_US/parameter_search_output/005_s2010_2025_h80_q10_a0_rw36_fb48_aw60_fMSH,completed,0.08,2010-01-01,2025-12-31,80,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",7.1575,11.23%,11.11%,12.58%,0.82,0.78,0.88,0.00,-0.40,-27.11%,52.22%,180,15,2026-06-04 17:09:27
006_s2010_2025_h70_q20_a0_rw36_fb48_aw60_fMSH,/Users/allison/Documents/Portfolio/fund_strategy/strategy_2026_US/parameter_search_output/006_s2010_2025_h70_q20_a0_rw36_fb48_aw60_fMSH,completed,0.08,2010-01-01,2025-12-31,70,0.2,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",7.4825,11.13%,11.06%,12.52%,0.80,0.78,0.88,-0.00,-0.46,-25.20%,48.89%,180,15,2026-06-04 17:09:27
007_s2010_2025_h70_q30_a0_rw36_fb48_aw60_fMSH,/Users/allison/Documents/Portfolio/fund_strategy/strategy_2026_US/parameter_search_output/007_s2010_2025_h70_q30_a0_rw36_fb48_aw60_fMSH,completed,0.08,2010-01-01,2025-12-31,70,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",8.68,11.64%,11.06%,12.52%,0.84,0.78,0.88,0.18,-0.33,-24.46%,53.33%,180,15,2026-06-04 17:09:27
008_s2010_2025_h70_q10_a1_rw36_fb48_aw60_fMSH,/Users/allison/Documents/Portfolio/fund_strategy/strategy_2026_US/parameter_search_output/008_s2010_2025_h70_q10_a1_rw36_fb48_aw60_fMSH,completed,0.08,2010-01-01,2025-12-31,70,0.1,0,True,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",6.9325,11.12%,11.06%,12.52%,0.81,0.78,0.88,-0.02,-0.45,-27.32%,53.33%,180,15,2026-06-04 17:09:27
009_s2010_2025_h70_q10_a0_rw36_fb48_aw36_fMSH,/Users/allison/Documents/Portfolio/fund_strategy/strategy_2026_US/parameter_search_output/009_s2010_2025_h70_q10_a0_rw36_fb48_aw36_fMSH,completed,0.08,2010-01-01,2025-12-31,70,0.1,0,False,36,36,48,36.0,0.05,1.5,1.5,"mkt_rf, smb, hml",7.29,11.21%,11.06%,12.52%,0.81,0.78,0.88,0.02,-0.38,-26.60%,49.44%,180,15,2026-06-04 17:09:27
010_s2010_2025_h70_q10_a0_rw36_fb48_aw120_fMSH,/Users/allison/Documents/Portfolio/fund_strategy/strategy_2026_US/parameter_search_output/010_s2010_2025_h70_q10_a0_rw36_fb48_aw120_fMSH,completed,0.08,2010-01-01,2025-12-31,70,0.1,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml",7.0375,11.11%,11.06%,12.52%,0.80,0.78,0.88,-0.01,-0.44,-26.82%,48.33%,180,15,2026-06-04 17:09:27
