signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,long_return,short_return,strategy_return,benchmark_return,long_count,short_count,style_count,strategy_cumulative,benchmark_cumulative,excess_return
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,-0.10593141301038489,0.09974965473937093,-0.006181758271013957,-0.1067703994923069,20,20,2,0.993818241728986,0.8932296005076931,0.10058864122129295
2009-08-28,2009-09-04,2009-09-30,2009-10-09,2009-08-28,2009-10-09,0.02173364434828629,-0.01538367763480776,0.006349966713478528,0.023166745733297002,20,20,2,1.0001289544832128,0.9139228235441091,-0.016816779019818474
2009-09-30,2009-10-09,2009-10-30,2009-11-06,2009-09-30,2009-11-06,0.1051759034162277,-0.08263260542286233,0.02254329799336538,0.08168237622090073,20,20,2,1.0226751595359207,0.9885742114537069,-0.05913907822753535
2009-10-30,2009-11-06,2009-11-27,2009-12-04,2009-10-30,2009-12-04,0.05885876811979447,-0.05048929055707384,0.008369477562720634,0.0371242841395981,21,21,3,1.0312344163376082,1.0252743213727935,-0.028754806576877463
2009-11-27,2009-12-04,2009-12-31,2010-01-08,2009-11-27,2010-01-08,-0.03019736003426577,0.032555109233696845,0.002357749199431075,-0.036056975019792104,21,21,3,1.033665808457154,0.9883060307786203,0.03841472421922318
2009-12-31,2010-01-08,2010-01-29,2010-02-05,2009-12-31,2010-02-05,-0.058715351814313824,0.06379421520934493,0.005078863395031108,-0.07331711642589678,22,22,3,1.0389156558944224,0.9158462824556083,0.07839597982092789
2010-01-29,2010-02-05,2010-02-26,2010-03-05,2010-01-29,2010-03-05,0.027458142314425976,-0.028217622247626674,-0.0007594799332006977,0.027705950798188852,23,23,4,1.0381266203014825,0.9412206744960276,-0.02846543073138955
2010-02-26,2010-03-05,2010-03-26,2010-04-02,2010-02-26,2010-04-02,0.03930911796956216,-0.039833857931485445,-0.0005247399619232873,0.03691506132139204,22,22,2,1.037581873778274,0.9759658934120105,-0.037439801283315324
2010-03-26,2010-04-02,2010-04-30,2010-05-07,2010-03-26,2010-05-07,-0.06630921054471206,0.10150135647477963,0.03519214593006757,-0.13294867013404457,22,22,2,1.074096606494672,0.846212525786699,0.16814081606411213
2010-04-30,2010-05-07,2010-05-28,2010-06-04,2010-04-30,2010-06-04,-0.021529568013883147,0.03347436068950108,0.011944792675617936,-0.02542301011344672,23,23,2,1.0869264677728356,0.8246992561854984,0.03736780278906465
2010-05-28,2010-06-04,2010-06-25,2010-07-02,2010-05-28,2010-07-02,-0.07690742978690424,0.07388069736147813,-0.0030267324254261013,-0.06080594437551752,23,23,2,1.0836366321887738,0.7745526390873523,0.05777921195009142
2010-06-25,2010-07-02,2010-07-30,2010-08-06,2010-06-25,2010-08-06,0.13767972776034765,-0.13528019205746486,0.002399535702882788,0.11611694701945995,24,24,2,1.0862368569766625,0.8644913268440412,-0.11371741131657716
2010-07-30,2010-08-06,2010-08-27,2010-09-03,2010-07-30,2010-09-03,0.04077945765781622,-0.04775312777179076,-0.006973670113974539,0.006577291659988083,25,25,2,1.0786617994704668,0.8701773384382244,-0.013550961773962623
2010-08-27,2010-09-03,2010-09-30,2010-10-08,2010-08-27,2010-10-08,0.038105590726936006,-0.042929326089175504,-0.004823735362239498,0.033998412207963555,24,24,2,1.0734586204044643,0.8997619862844758,-0.03882214757020305
2010-09-30,2010-10-08,2010-10-29,2010-11-05,2010-09-30,2010-11-05,0.0884251437484686,-0.09642063195705308,-0.007995488208584478,0.12437239435788303,26,26,2,1.064875794662617,1.0116675388708807,-0.1323678825664675
2010-10-29,2010-11-05,2010-11-26,2010-12-03,2010-10-29,2010-12-03,-0.05157147250371385,0.03741432607406703,-0.01415714642964682,-0.08248398420332173,26,26,3,1.0498001921081919,0.9282211695756416,0.0683268377736749
2010-11-26,2010-12-03,2010-12-31,2011-01-07,2010-11-26,2011-01-07,-0.012115065338902229,0.003637770204527397,-0.008477295134374832,0.0025970893280707675,27,27,3,1.0409007260475673,0.9306318428692358,-0.011074384462445599
2010-12-31,2011-01-07,2011-01-28,2011-02-01,2010-12-31,2011-02-01,-0.0496252519610577,0.047095582520301105,-0.002529669440756596,-0.022187690015470274,28,28,3,1.0382675912900234,0.9099832720211274,0.019658020574713678
2011-01-28,2011-02-01,2011-02-25,2011-03-04,2011-01-28,2011-03-04,0.05653792446667809,-0.0605239100998823,-0.003985985633204209,0.05087706989631844,28,28,3,1.0341290715877198,0.9562805545562267,-0.05486305552952265
2011-02-25,2011-03-04,2011-03-25,2011-04-01,2011-02-25,2011-04-01,-0.020016740809728643,0.006492500969326396,-0.013524239840402248,0.0014919771835335107,28,28,3,1.020143261997635,0.9577073033246815,-0.015016217023935758
2011-03-25,2011-04-01,2011-04-29,2011-05-06,2011-03-25,2011-05-06,-0.03812240790071151,0.04687377760924903,0.008751369708537522,-0.03642993233444991,28,28,3,1.0290709128390496,0.9228180910683548,0.04518130204298743
2011-04-29,2011-05-06,2011-05-27,2011-06-03,2011-04-29,2011-06-03,-0.042914454689706796,0.05346790111773839,0.01055344642803159,-0.03406971940714487,30,30,4,1.039931157588342,0.8913779376418188,0.04462316583517646
2011-05-27,2011-06-03,2011-06-24,2011-07-01,2011-05-27,2011-07-01,0.03596230412056797,-0.03141581822416085,0.004546485896407125,0.01736624342481514,30,30,4,1.0446591899295516,0.9068578238904164,-0.012819757528408016
2011-06-24,2011-07-01,2011-07-29,2011-08-05,2011-06-24,2011-08-05,0.008267264364546091,-0.008768580947055663,-0.0005013165825095717,-0.03934228145062853,31,31,4,1.044135484954569,0.871179968147215,0.03884096486811896
2011-07-29,2011-08-05,2011-08-26,2011-09-02,2011-07-29,2011-09-02,-0.029308913482172048,0.03359592113231691,0.0042870076501448605,-0.025171369091654808,31,31,4,1.048611701766357,0.8492511756237253,0.029458376741799668
2011-08-26,2011-09-02,2011-09-30,2011-10-14,2011-08-26,2011-10-14,-0.07831481372832318,0.07258905660303126,-0.005725757125291914,-0.041736910923201094,31,31,4,1.0426076058433038,0.8138060549552941,0.03601115379790918
2011-09-30,2011-10-14,2011-10-28,2011-11-04,2011-09-30,2011-11-04,0.03492280865064327,-0.03588213879623998,-0.0009593301455967096,0.033561341242775815,32,32,4,1.04160740093699,0.8411184776710858,-0.034520671388372524
2011-10-28,2011-11-04,2011-11-25,2011-12-02,2011-10-28,2011-12-02,-0.05580763360268587,0.045831185781144985,-0.009976447821540883,-0.059224348773985684,32,32,4,1.0312158590510114,0.7913037835892496,0.0492479009524448
2011-11-25,2011-12-02,2011-12-30,2012-01-06,2011-11-25,2012-01-06,-0.10164181382683347,0.13492599173370184,0.03328417790686837,-0.0822931429620966,31,31,3,1.0655390311640494,0.7261849081998916,0.11557732086896497
2011-12-30,2012-01-06,2012-01-20,2012-02-03,2011-12-30,2012-02-03,0.048274754241926655,-0.03109654281023927,0.017178211431687386,0.07575315140094312,32,32,3,1.0838430859301007,0.7811957034958379,-0.05857493996925573
2012-01-20,2012-02-03,2012-02-24,2012-03-02,2012-01-20,2012-03-02,0.07823111536728519,-0.06627610335211653,0.011955012015168659,0.055913742604690335,33,33,3,1.0968004430449525,0.8248752789849941,-0.043958730589521676
2012-02-24,2012-03-02,2012-03-30,2012-04-06,2012-02-24,2012-04-06,-0.04084155890347027,0.036759511719704936,-0.004082047183765335,-0.04710739518195073,33,33,3,1.0923232518852681,0.7860175532420262,0.043025347998185394
2012-03-30,2012-04-06,2012-04-27,2012-05-04,2012-03-30,2012-05-04,0.05383154281507367,-0.05139235488378943,0.0024391879312842396,0.06281698852636951,33,33,3,1.0949876335783277,0.8353928088655554,-0.06037780059508527
2012-04-27,2012-05-04,2012-05-25,2012-06-01,2012-04-27,2012-06-01,-0.0025016720366653855,0.001712250311647311,-0.0007894217250180744,-0.023819321433630282,33,33,3,1.0941232265517549,0.8154943190278435,0.023029899708612207
2012-05-25,2012-06-01,2012-06-29,2012-07-06,2012-05-25,2012-07-06,0.0009845296787005392,0.004537086373040149,0.005521616051740688,-0.048005750233859605,34,34,3,1.1001645549220653,0.7763459024314615,0.05352736628560029
2012-06-29,2012-07-06,2012-07-27,2012-08-03,2012-06-29,2012-08-03,-0.04599179955935435,0.04492031262064116,-0.001071486938713187,-0.03782808178962496,34,34,3,1.0989857429710312,0.746978226137244,0.036756594850911775
2012-07-27,2012-08-03,2012-08-31,2012-09-07,2012-07-27,2012-09-07,0.002772314583669286,-0.006059063399885445,-0.003286748816216159,-0.011841323403139637,36,36,3,1.0953736528812827,0.7381330153864493,0.008554574586923477
2012-08-31,2012-09-07,2012-09-28,2012-10-12,2012-08-31,2012-10-12,-0.014595443875790643,0.016665565733587143,0.0020701218577965,-0.0038154014023100034,36,36,3,1.0976412098225667,0.7353167416444525,0.005885523260106503
