signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,fund_code,style,side,weight,alpha
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,310368.OF,Alpha,long,0.02631578947368421,0.006576088413539864
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,270008.OF,Alpha,long,0.02631578947368421,0.006440935991868252
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,550003.OF,Alpha,long,0.02631578947368421,0.005950739339004065
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,460005.OF,Alpha,long,0.02631578947368421,0.005037876282657303
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,070013.OF,Alpha,long,0.02631578947368421,0.004681890958002931
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,350005.OF,Alpha,long,0.02631578947368421,0.004564142399819292
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,217010.OF,Alpha,long,0.02631578947368421,0.004563756777205096
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,110011.OF,Alpha,long,0.02631578947368421,0.0045490362562310245
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,290005.OF,Alpha,long,0.02631578947368421,0.004394136497111989
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,000031.OF,Alpha,long,0.02631578947368421,0.003884661181232225
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,202011.OF,Alpha,long,0.02631578947368421,0.00382548754236623
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,340007.OF,Alpha,long,0.02631578947368421,0.003529658800504308
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,450004.OF,Alpha,long,0.02631578947368421,0.003480355854847747
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,519668.OF,Alpha,long,0.02631578947368421,0.0029614471686299163
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,050010.OF,Alpha,long,0.02631578947368421,0.0027388914206128434
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,163801.OF,Alpha,long,0.02631578947368421,0.0022633745551680247
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,163302.OF,Alpha,long,0.02631578947368421,0.0019410482699405173
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,288002.OF,Alpha,long,0.02631578947368421,0.001754062018982908
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,002011.OF,Alpha,long,0.02631578947368421,0.0017041255168994834
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,378010.OF,Alpha,short,-0.02631578947368421,-0.002898740636952213
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,450002.OF,Alpha,short,-0.02631578947368421,-0.002914247216205438
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,483003.OF,Alpha,short,-0.02631578947368421,-0.003023499279672898
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,360001.OF,Alpha,short,-0.02631578947368421,-0.0030335659231013118
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,163503.OF,Alpha,short,-0.02631578947368421,-0.0031521519739479784
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,570001.OF,Alpha,short,-0.02631578947368421,-0.003207568426424755
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,360006.OF,Alpha,short,-0.02631578947368421,-0.003312463013595906
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,202001.OF,Alpha,short,-0.02631578947368421,-0.003537477383993785
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,202002.OF,Alpha,short,-0.02631578947368421,-0.0038438995590262654
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,162703.OF,Alpha,short,-0.02631578947368421,-0.003956277664062091
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,375010.OF,Alpha,short,-0.02631578947368421,-0.0041349456009973605
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,166001.OF,Alpha,short,-0.02631578947368421,-0.004420601884655756
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,519993.OF,Alpha,short,-0.02631578947368421,-0.004482493211492288
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,070003.OF,Alpha,short,-0.02631578947368421,-0.004685525995535907
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,410003.OF,Alpha,short,-0.02631578947368421,-0.0048149284009121425
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,580002.OF,Alpha,short,-0.02631578947368421,-0.005388537533832065
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,400001.OF,Alpha,short,-0.02631578947368421,-0.0062162593744406
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,410001.OF,Alpha,short,-0.02631578947368421,-0.006744571793856649
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,202007.OF,Alpha,short,-0.02631578947368421,-0.007117045488462608
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,050009.OF,Small Value,long,0.5,-0.0007993292929100268
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,519003.OF,Small Value,short,-0.5,-0.002998023506003844
2009-08-28,2009-09-04,2009-09-30,2009-10-09,2009-08-28,2009-10-09,519089.OF,Alpha,long,0.02631578947368421,0.007634522877722849
2009-08-28,2009-09-04,2009-09-30,2009-10-09,2009-08-28,2009-10-09,270008.OF,Alpha,long,0.02631578947368421,0.004468722040136054
2009-08-28,2009-09-04,2009-09-30,2009-10-09,2009-08-28,2009-10-09,310368.OF,Alpha,long,0.02631578947368421,0.0043651705632598535
2009-08-28,2009-09-04,2009-09-30,2009-10-09,2009-08-28,2009-10-09,340007.OF,Alpha,long,0.02631578947368421,0.0038805134711454364
2009-08-28,2009-09-04,2009-09-30,2009-10-09,2009-08-28,2009-10-09,550003.OF,Alpha,long,0.02631578947368421,0.0038016952851851775
2009-08-28,2009-09-04,2009-09-30,2009-10-09,2009-08-28,2009-10-09,070013.OF,Alpha,long,0.02631578947368421,0.003539527824261828
2009-08-28,2009-09-04,2009-09-30,2009-10-09,2009-08-28,2009-10-09,660001.OF,Alpha,long,0.02631578947368421,0.0030872317979180443
