signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,long_return,short_return,strategy_return,benchmark_return,long_count,short_count,style_count,strategy_cumulative,benchmark_cumulative,excess_return
2009-07-31,2009-08-07,2009-08-28,2009-09-04,2009-07-31,2009-09-04,-0.10593141301038489,0.09974965473937093,-0.006181758271013957,-0.1067703994923069,20,20,2,0.993818241728986,0.8932296005076931,0.10058864122129295
2009-08-28,2009-09-04,2009-09-30,2009-10-09,2009-08-28,2009-10-09,0.02173364434828629,-0.01538367763480776,0.006349966713478528,0.023166745733297002,20,20,2,1.0001289544832128,0.9139228235441091,-0.016816779019818474
2009-09-30,2009-10-09,2009-10-30,2009-11-06,2009-09-30,2009-11-06,0.1051759034162277,-0.08263260542286233,0.02254329799336538,0.08168237622090073,20,20,2,1.0226751595359207,0.9885742114537069,-0.05913907822753535
2009-10-30,2009-11-06,2009-11-27,2009-12-04,2009-10-30,2009-12-04,0.04433743956922284,-0.04744428503199457,-0.0031068454627717276,0.0371242841395981,22,22,4,1.0194978658566272,1.0252743213727935,-0.040231129602369825
2009-11-27,2009-12-04,2009-12-31,2010-01-08,2009-11-27,2010-01-08,-0.027072014354073595,0.03565136288058858,0.008579348526514985,-0.036056975019792104,22,22,4,1.0282444933698494,0.9883060307786203,0.04463632354630709
2009-12-31,2010-01-08,2010-01-29,2010-02-05,2009-12-31,2010-02-05,-0.0662329593949688,0.07673705376809345,0.010504094373124648,-0.07331711642589678,22,22,4,1.039045270566852,0.9158462824556083,0.08382121079902143
2010-01-29,2010-02-05,2010-02-26,2010-03-05,2010-01-29,2010-03-05,0.03536334317173245,-0.034027803139669556,0.0013355400320628971,0.027705950798188852,22,22,4,1.0404329571208197,0.9412206744960276,-0.026370410766125955
2010-02-26,2010-03-05,2010-03-26,2010-04-02,2010-02-26,2010-04-02,0.045358709794720245,-0.03903206720454914,0.006326642590171107,0.03691506132139204,22,22,4,1.047015404579558,0.9759658934120105,-0.03058841873122093
2010-03-26,2010-04-02,2010-04-30,2010-05-07,2010-03-26,2010-05-07,-0.06456417273405499,0.0826837717913218,0.018119599057266816,-0.13294867013404457,22,22,4,1.0659869039173218,0.846212525786699,0.1510682691913114
2010-04-30,2010-05-07,2010-05-28,2010-06-04,2010-04-30,2010-06-04,-0.020081032041023388,0.02652803378486667,0.006447001743843283,-0.02542301011344672,25,25,4,1.072859323345791,0.8246992561854984,0.031870011857290007
2010-05-28,2010-06-04,2010-06-25,2010-07-02,2010-05-28,2010-07-02,-0.07204782822044262,0.0700548269832143,-0.0019930012372283146,-0.06080594437551752,24,24,4,1.070721113386991,0.7745526390873523,0.058812943138289206
2010-06-25,2010-07-02,2010-07-30,2010-08-06,2010-06-25,2010-08-06,0.14262166549198896,-0.13771901150094343,0.00490265399104553,0.11611694701945995,25,25,4,1.0759704885268344,0.8644913268440412,-0.11121429302841442
2010-07-30,2010-08-06,2010-08-27,2010-09-03,2010-07-30,2010-09-03,0.04975252567554729,-0.02862615632497181,0.02112636935057548,0.006577291659988083,26,26,4,1.0987018384777714,0.8701773384382244,0.014549077690587397
2010-08-27,2010-09-03,2010-09-30,2010-10-08,2010-08-27,2010-10-08,0.05042975092662375,-0.04553825667860497,0.004891494248018782,0.033998412207963555,26,26,4,1.104076132200973,0.8997619862844758,-0.029106917959944772
2010-09-30,2010-10-08,2010-10-29,2010-11-05,2010-09-30,2010-11-05,0.09497208696359336,-0.10957561888314024,-0.014603531919546886,0.12437239435788303,27,27,3,1.0879527211627662,1.0116675388708807,-0.1389759262774299
2010-10-29,2010-11-05,2010-11-26,2010-12-03,2010-10-29,2010-12-03,-0.05768386291179987,0.026668158246322973,-0.031015704665476894,-0.08248398420332173,26,26,3,1.05420910087318,0.9282211695756416,0.05146827953784484
2010-11-26,2010-12-03,2010-12-31,2011-01-07,2010-11-26,2011-01-07,-0.008059149703004856,0.009833133294140758,0.0017739835911359022,0.0025970893280707675,26,26,3,1.0560792505197552,0.9306318428692358,-0.0008231057369348653
2010-12-31,2011-01-07,2011-01-28,2011-02-01,2010-12-31,2011-02-01,-0.04750162034265495,0.05413743822694607,0.006635817884291122,-0.022187690015470274,28,28,3,1.0630872000975828,0.9099832720211274,0.028823507899761396
2011-01-28,2011-02-01,2011-02-25,2011-03-04,2011-01-28,2011-03-04,0.05149792132668727,-0.056700507845202565,-0.005202586518515295,0.05087706989631844,27,27,3,1.057556396962349,0.9562805545562267,-0.056079656414833735
2011-02-25,2011-03-04,2011-03-25,2011-04-01,2011-02-25,2011-04-01,0.001549445044101633,0.0076096137531694134,0.009159058797271045,0.0014919771835335107,28,28,3,1.067242618183557,0.9577073033246815,0.007667081613737535
2011-03-25,2011-04-01,2011-04-29,2011-05-06,2011-03-25,2011-05-06,-0.022850355237055805,0.05118602686699921,0.028335671629943406,-0.03642993233444991,28,28,3,1.0974836545618873,0.9228180910683548,0.06476560396439332
2011-04-29,2011-05-06,2011-05-27,2011-06-03,2011-04-29,2011-06-03,-0.04119739427347432,0.05039809934758285,0.009200705074108535,-0.03406971940714487,30,30,4,1.107581277991166,0.8913779376418188,0.04327042448125341
2011-05-27,2011-06-03,2011-06-24,2011-07-01,2011-05-27,2011-07-01,0.03235385919038866,-0.027294085681668724,0.005059773508719938,0.01736624342481514,30,30,3,1.1131853884002998,0.9068578238904164,-0.012306469916095204
2011-06-24,2011-07-01,2011-07-29,2011-08-05,2011-06-24,2011-08-05,-0.003016332204722934,-0.005301078642368284,-0.008317410847091217,-0.03934228145062853,30,30,3,1.1039265681759955,0.871179968147215,0.03102487060353731
2011-07-29,2011-08-05,2011-08-26,2011-09-02,2011-07-29,2011-09-02,-0.035441030383536985,0.03352836296902918,-0.001912667414507803,-0.025171369091654808,30,30,3,1.1018151238010359,0.8492511756237253,0.023258701677147005
2011-08-26,2011-09-02,2011-09-30,2011-10-14,2011-08-26,2011-10-14,-0.07737926933716119,0.07779985123061645,0.00042058189345525743,-0.041736910923201094,30,30,3,1.1022785272920417,0.8138060549552941,0.04215749281665635
2011-09-30,2011-10-14,2011-10-28,2011-11-04,2011-09-30,2011-11-04,0.03336346285873432,-0.038347141361427674,-0.0049836785026933506,0.033561341242775815,31,31,3,1.096785125491596,0.8411184776710858,-0.038545019745469165
2011-10-28,2011-11-04,2011-11-25,2011-12-02,2011-10-28,2011-12-02,-0.059379652293160404,0.04129329264788008,-0.018086359645280325,-0.059224348773985684,31,31,3,1.076948275258361,0.7913037835892496,0.04113798912870536
2011-11-25,2011-12-02,2011-12-30,2012-01-06,2011-11-25,2012-01-06,-0.10419673619876699,0.12372069860754571,0.019523962408778725,-0.0822931429620966,31,31,3,1.0979745729007042,0.7261849081998916,0.10181710537087532
2011-12-30,2012-01-06,2012-01-20,2012-02-03,2011-12-30,2012-02-03,0.05004968906158727,-0.045174283552221306,0.004875405509365965,0.07575315140094312,32,32,3,1.1033276441825681,0.7811957034958379,-0.07087774589157715
2012-01-20,2012-02-03,2012-02-24,2012-03-02,2012-01-20,2012-03-02,0.07319600405498847,-0.07404382911941346,-0.0008478250644249896,0.055913742604690335,32,32,3,1.102392215351557,0.8248752789849941,-0.056761567669115325
2012-02-24,2012-03-02,2012-03-30,2012-04-06,2012-02-24,2012-04-06,-0.04361460472317123,0.04190708084612272,-0.0017075238770485127,-0.04710739518195073,33,33,4,1.1005098543219718,0.7860175532420262,0.045399871304902216
2012-03-30,2012-04-06,2012-04-27,2012-05-04,2012-03-30,2012-05-04,0.05384027931771163,-0.051994754827230386,0.001845524490481247,0.06281698852636951,33,33,4,1.1025408722101389,0.8353928088655554,-0.06097146403588826
2012-04-27,2012-05-04,2012-05-25,2012-06-01,2012-04-27,2012-06-01,-0.013543591009283568,0.011111328625242303,-0.002432262384041265,-0.023819321433630282,33,33,4,1.099859203519794,0.8154943190278435,0.021387059049589017
2012-05-25,2012-06-01,2012-06-29,2012-07-06,2012-05-25,2012-07-06,-0.016229909407479266,0.015798366733201577,-0.0004315426742776893,-0.048005750233859605,35,35,4,1.0993845673377782,0.7763459024314615,0.047574207559581916
2012-06-29,2012-07-06,2012-07-27,2012-08-03,2012-06-29,2012-08-03,-0.04462188131443949,0.04192747528605649,-0.0026944060283830007,-0.03782808178962496,36,36,4,1.096422378932032,0.746978226137244,0.03513367576124196
2012-07-27,2012-08-03,2012-08-31,2012-09-07,2012-07-27,2012-09-07,-0.0004951688481789583,-0.002090983073701506,-0.0025861519218804644,-0.011841323403139637,36,36,4,1.093586864089564,0.7381330153864493,0.009255171481259173
2012-08-31,2012-09-07,2012-09-28,2012-10-12,2012-08-31,2012-10-12,-0.01372031069272745,0.017339069472932456,0.003618758780205006,-0.0038154014023100034,36,36,4,1.097544291155905,0.7353167416444525,0.00743416018251501
